JP,adria-airways,Adria Airways
4O,interjet,Interjet (ABC Aerolineas)
FD,intersky,Thai AirAsia
IR,iran-air,Iran Air
EP,iran-aseman,Iran Aseman Airlines
6H,israir-airlines,Israir
JL,japan-airlines,Japan Airlines Domestic
J9,jazeera-airways,Jazeera Airways
QK,jazz,Air Canada Jazz
7C,jeju-air,Jeju Air
9W,jet-airways,Jet Airways
LS,jet2-com,Jet2.com
TB,jetairfly,TrasBrasil
B6,jetblue-airways,JetBlue Airways
JQ,jetstar-airways,Jetstar Airways
3K,jetstar-asia,Jetstar Asia Airways
BL,jetstar-pacific,Jetstar Pacific
LJ,jin-air,Jin Air
HO,juneyao-airlines,Juneyao Airlines
RQ,kam-air,Kam Air
TU,karthago-airlines,Tunisair
KQ,kenya-airways,Kenya Airways
Y9,kish-air,Kish Air
KL,klm-royal-dutch-airlines,KLM Royal Dutch Airlines
KE,korean-air,Korean Air
MN,kulula,Comair
KW,kuwait-airways,Carnival Air Lines
B0,la-compagnie,Aws express
TM,lam-mozambique-airlines,Air Mozambique
LA,lan-airlines,LAN Airlines
BO,lan-colombia,Bouraq Indonesia Airlines
LI,lan-peru,Leeward Islands Air Transport
QV,lao-airlines,Lao Airlines
PO,liat,FlyPortugal
LN,libyan-airlines,Libyan Arab Airlines
JT,lion-air,Lion Mentari Airlines
ED,loganair,Airblue
C0,lot-polish-airlines,Centralwings
8L,lucky-air,Redhill Aviation
LH,lufthansa,Lufthansa Cargo
LG,luxair,Luxair
W5,mahan-air,Mahan Air
KU,malaysia-airlines,Kuwait Airways
OD,malindo-air,Malindo Air
TF,malm-aviation,Malmö Aviation
JE,mango,Mango
MP,martinair,Martinair
IG,meridiana,Meridiana
OM,miat-mongolian,MIAT Mongolian Airlines
ME,mea-middle-east-airlines,Middle East Airlines
HA,mokulele-airlines,Hawaiian Airlines
2M,moldavian-airlines,Moldavian Airlines
ZB,monarch-airlines,Monarch Airlines
YM,montenegro-airlines,Montenegro Airlines
8M,myanmar-airways,Myanmar Airways International
RA,nepal-airlines,Royal Nepal Airlines
2N,nextjet,NextJet
